Start,Finish,Duration,Age,Dialogue/Interaction_unit,Number,CDS,Utterance_type,Participant,Language,Initiation,Response_yes,Transcription,TCH_Language,
993.976599,995.311746,1.335147,6,1,1,1,Excl,S1,Rus,1,1,,,1.1.CDS.Excl.S1.Rus.Init.RYes
995.311746,996.078005,0.766259,6,1,2,0,Voc,TCH,TCH,0,1,,,1.2.CH.Voc.RYes
996.089615,996.751383,0.661768,6,1,3,1,Valid,S1,Rus,0,1,,,1.3.CDS.Valid.S1.Rus.RYes
997.343492,997.958821,0.615329,6,1,4,0,Voc,TCH,TCH,0,1,,,1.4.CH.Voc.RYes
998.26068,999.305578,1.044898,6,1,5,1,Valid,S1,Rus,0,0,,,1.5.CDS.Valid.S1.Rus.RNo
2554.009252,2554.89161,0.882358,6,2,1,1,Imper,S2,Rus,1,1,,,2.1.CDS.Imper.S2.Rus.Init.RY
2556.598277,2557.782494,1.184217,6,2,2,0,Voc,TCH,TCH,0,0,,,2.2.CH.Voc.RNo
2621.730249,2623.135057,1.404808,6,3,1,1,Interr,S2,Rus,1,1,,,3.1.CDS.Interr.S2.Rus.Init.RYes
2623.936145,2624.783673,0.847528,6,3,2,0,Voc,TCH,TCH,0,0,,,3.2.CH.Voc.RNo
2808.766984,2810.276281,1.509297,6,4,1,0,Voc,TCH,TCH,1,1,,,4.1.CH.Voc.Init
2811.00771,2812.853696,1.845986,6,4,2,1,Imit,S2,Rus,0,0,,,4.2.CDS.Imit.S2.Rus.RNo
2827.192018,2828.701315,1.509297,6,5,1,1,Att,S2,Rus,1,1,,,5.1.CDS.Att.S2.Rus.Init.RYes
2830.082902,2831.696689,1.613787,6,5,2,0,Voc,TCH,TCH,0,1,,,5.2.CH.Voc.RYes
2840.868571,2842.076009,1.207438,6,6,1,1,Att,S2,Rus,1,1,,,6.1.CDS.Att.S2.Rus.Init
2845.570612,2847.079909,1.509297,6,6,2,0,Imit,TCH,TCH,0,0,,,6.2.CH.Voc.Imit.RNo
3011.906757,3012.881995,0.975238,6,7,1,1,Att,S2,Rus,1,1,,,7.1.CDS.Att.S2.Rus.Init
3012.881995,3013.868844,0.986849,6,7,2,0,Voc,TCH,TCH,0,1,,,7.2.CH.Voc.RYes
3014.147483,3015.227211,1.079728,6,7,3,1,Imit,S2,Rus,0,0,,,7.3.CDS.Imit.S2.Rus.RNo
3017.967166,3019.534512,1.567346,6,8,1,1,Imper,S2,Rus,1,1,,,8.1.CDS.Imper.S2.Rus.Init
3020.60263,3021.775238,1.172608,6,8,2,0,Voc,TCH,TCH,0,1,,,8.2.CH.Voc.RYes
3022.088707,3023.029116,0.940409,6,8,3,1,Excl,S2,Rus,0,0,,,8.3.CDS.Excl.S2.Rus.RNo
3038.644535,3039.155374,0.510839,6,9,1,0,Voc,TCH,TCH,1,1,,,9.1.CH.Voc.Init
3039.434014,3039.968073,0.534059,6,9,2,1,Interr,S2,Rus,0,1,,,9.2.CDS.Interr.S2.Rus.RYes
3041.1639,3041.941769,0.777869,6,9,3,0,Voc,TCH,TCH,0,1,,,9.3.CH.Voc.Ryes
3041.918549,3042.475828,0.557279,6,9,4,1,Imit,S2,Rus,0,1,,,9.4.CDS.Imit.S2.Rus.RYes
3043.067937,3044.078005,1.010068,6,9,5,0,Voc,TCH,TCH,0,0,,,9.5.CH.Voc.RNo
3087.27873,3088.555828,1.277098,6,10,1,1,Att,S2,Rus,1,1,,,10.1.CDS.Att.S2.Rus.Init
3088.555828,3089.182766,0.626938,6,10,2,0,Voc,TCH,TCH,0,1,,,10.2.CH.Voc.RYes
3089.507846,3090.425034,0.917188,6,10,3,1,Valid,S2,Rus,0,1,,,10.3.CDS.Valid.S2.Rus.RYes
3090.413424,3090.866213,0.452789,6,10,4,0,Voc,TCH,TCH,0,1,,,10.4.CH.Voc.RYes
3091.075193,3092.062041,0.986848,6,10,5,1,Valid,S2,Rus,0,0,,,10.5.CDS.Valid.S2.Rus.RNo
3092.956009,3094.860045,1.904036,6,11,1,1,Excl,S2,Rus,1,1,,,11.1.CDS.Excl.S2.Rus.Init
3095.719184,3096.171973,0.452789,6,11,2,0,Voc,TCH,TCH,0,1,,,11.2.CH.Voc.RYes
3096.171973,3097.100771,0.928798,6,11,3,1,Excl,S2,Rus,0,1,,,11.3.CDS.Excl.S2.Rus.RYes
3097.158821,3097.61161,0.452789,6,11,4,0,Voc,TCH,TCH,0,1,,,11.4.CH.Voc.RYes
3097.878639,3098.389478,0.510839,6,11,5,1,Imit,S2,Rus,0,1,,,11.5.CDS.Imit.S2.Rus.RYes
3099.620136,3100.305125,0.684989,6,11,6,0,Voc,TCH,TCH,0,1,,,11.6.CH.Voc.RYes
3100.374785,3101.164263,0.789478,6,11,7,1,Imit,S2,Rus,0,1,,,11.7.CDS.Imit.S2.Rus.RY
3102.47619,3103.312109,0.835919,6,11,8,0,Voc,TCH,TCH,0,1,,,11.8.CH.Voc.RY
3103.288889,3104.275737,0.986848,6,11,9,1,Imit,S2,Rus,0,1,,,11.9.CDS.Imit.S2.Rus.RY
3105.831474,3107.073741,1.242267,6,11,10,0,Imit,TCH,TCH,0,0,,,11.10.CH.Imit.RN
