Duration,Speaker,Language,Category,Turn,Classification,,
2.38,pap,de,cds,non-contingent,question,,
,pap,de,cds,non-contingent,play,,
1.388,pap,de,cds,non-contingent,play,,
1.33,pap,de,cds,non-contingent,play,,
0.52,oma,en,ads,non-contingent,ads,,
0.84,pap,ru,ads,non-contingent,ads,,
0.999,tch,tch,tch,initiation,vocalisation,,
1.109,pap,de,cds,contingent,repair 1,,
0.86,tch,tch,tch,initiation,vocalisation,,
0.72,pap,de,cds,contingent,repair 2,,
1.09,tch,tch,tch,contingent,babbling,,
4.5,pap,de,cds,contingent,question,,
,pap,de,cds,contingent,description,,
0.35,tch,tch,tch,contingent,vocalisation,,
0.9,pap,de,cds,contingent,backchannel,,
1.79,tch,tch,tch,contingent,fussing,,
10.61,pap,de,cds,contingent,prosodic imitation,,
,pap,de,cds,contingent,prosodic imitation,,
,pap,de,cds,contingent,play,,
,pap,de,cds,contingent,play,,
,pap,de,cds,contingent,play,,
,pap,de,cds,contingent,play,,
2.04,tch,tch,tch,contingent,babbling,,
4.77,pap,de,cds,contingent,vocal imitation,,
,pap,de,cds,contingent,singing,,
1.56,tch,tch,tch,contingent,babbling,,
5.515,pap,de,cds,contingent,vocal imitation,,
,pap,de,cds,contingent,singing,,
4.456,pap,de,cds,non-contingent,play,,
4.48,pap,de,cds,non-contingent,play,,
,pap,de,cds,initiation,play,,
0.61,tch,tch,tch,contingent,vocalisation,,
7.16,pap,de,cds,contingent,vocal imitation,,
,pap,de,cds,contingent,scaffolding,,
,pap,de,cds,contingent,play,,
1.31,tch,tch,tch,contingent,babbling,,
12.257,pap,de,cds,contingent,play,,
,tch,tch,tch,contingent,laughing,,
,pap,de,cds,contingent,backchannel,,
1.42,pap,de,cds,contingent,exclamation,,
2.42,tch,tch,tch,contingent,babbling,,
10.16,pap,de,cds,contingent,backchannel,,
,pap,de,cds,contingent,play,,
1.217,pap,de,cds,non-contingent,imperative,,
4.457,pap,de,cds,non-contingent,play,,
3.53,pap,de,cds,initiation,play,,
,tch,tch,tch,contingent,grunting,,
5.35,pap,de,cds,contingent,play,,
,pap,de,cds,contingent,play,,
0.73,pap,de,cds,non-contingent,iconic,,
0.6,pap,de,cds,initiation,iconic,,
1.33,tch,tch,tch,contingent,babbling,,
0.73,pap,de,cds,contingent,iconic,,
15.058,pap,de,cds,non-contingent,play,,
,pap,de,cds,non-contingent,play,,
,pap,de,cds,non-contingent,play,,
10.787,pap,de,cds,non-contingent,singing,,
,pap,de,cds,non-contingent,singing,,
5.42,pap,de,cds,non-contingent,play,,
,pap,de,cds,non-contingent,play,,
2.64,pap,de,cds,non-contingent,play,,
2.58,pap,de,cds,non-contingent,play,,
1.34,pap,en,cds,non-contingent,question,,
1.91,pap,en,cds,non-contingent,question,,
3.5,pap,de,cds,initiation,play,,
0.9,tch,tch,tch,contingent,vocalisation,,
1.267,pap,de,cds,contingent,repair 3,,
1,pap,de,cds,contingent,repair 3,,
1.32,pap,de,cds,contingent,repair 3,,
3.044,pap,de,cds,non-contingent,scaffolding,,
,pap,de,cds,non-contingent,scaffolding,,
2.915,pap,de,cds,non-contingent,scaffolding,,
,pap,de,cds,non-contingent,scaffolding,,
0.93,pap,de,cds,initiation,scaffolding,,
0.75,tch,tch,tch,contingent,vocalisation,,
1.322,pap,de,cds,non-contingent,scaffolding,,
,pap,de,cds,non-contingent,scaffolding,,
4.86,tch,tch,tch,initiation,babbling,,
13.22,pap,de,cds,contingent,scaffolding,,
,pap,de,cds,contingent,scaffolding,,
,pap,de,cds,non-contingent,question,,
,pap,de,cds,non-contingent,question,,
,pap,de,cds,non-contingent,scaffolding,,
,pap,de,cds,non-contingent,exclamation,,
3.24,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,initiation,scaffolding,,
0.95,tch,tch,tch,contingent,babbling,,
2.38,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,backchannel,,
8.82,pap,de,cds,non-contingent,exclamation,,
,pap,de,cds,non-contingent,imperative,,
,pap,de,cds,non-contingent,description,,
,pap,de,cds,non-contingent,question,,
11.55,pap,de,cds,non-contingent,scaffolding,,
,pap,de,cds,non-contingent,description,,
,pap,de,cds,non-contingent,exclamation,,
,pap,de,cds,non-contingent,exclamation,,
,pap,de,cds,non-contingent,exclamation,,
,pap,de,cds,non-contingent,description,,
,pap,de,cds,non-contingent,backchannel,,
1.96,oma,ru,ads,non-contingent,ads,,
,oma,ru,ads,non-contingent,ads,,
1.72,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,initiation,exclamation,,
1,tch,tch,tch,contingent,iconic,,
3.19,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,semantic expansion,,
,oma,ru,cds,contingent,prosodic imitation,,
1.73,tch,tch,tch,initiation,iconic,,
1.42,mam,ru,cds,contingent,repair 3,,
3.22,pap,de,cds,contingent,syntactic expansion,,
,pap,de,cds,contingent,question,,
,pap,de,cds,contingent,description,,
0.92,tch,tch,tch,initiation,vocalisation,,
6.86,mam,ru,cds,contingent,semantic expansion,,
,mam,ru,cds,contingent,question,,
1.8,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,imperative,,
15.353,mam,ru,ads,non-contingent,ads,,
,mam,ru,ads,non-contingent,ads,,
,mam,ru,ads,non-contingent,ads,,
,mam,ru,ads,non-contingent,ads,,
1.56,tch,tch,tch,non-contingent,babbling,,
1.41,oma,ru,ads,non-contingent,ads,,
1.406,mam,en,ads,non-contingent,ads,,
