Subject ID,Group,SES,LM_6m_babbling_pct,LA6mAvgD1D2_AWC.Proj,LA6mAvgD1D2_CTC.Proj,LA6mAvgD1D2_CVC.Proj,LM_6m_parentese_pct,LM_6m_standard_pct,LA10mAvgD1D2_AWC.Proj,LA10mAvgD1D2_CTC.Proj,LA10mAvgD1D2_CVC.Proj,LM10m_parentese_pct,LM10m_standard,LA14mAvgD1D2_AWC.Proj,LA14mAvgD1D2_CTC.Proj,LA14mAvgD1D2_CVC.Proj,LM14m_parentese_pct,LM14m_standard,LA18mAvgD1D2_AWC.Proj,LA18mAvgD1D2_CTC.Proj,LA18mAvgD1D2_CVC.Proj,LM_18m_parentese_pct,LM_18m_standard_pct,LM_18m_baby_words,VOCAB_18mo_CDI
1,1,66,23,18468,355,1219.5,73,33,17145,317,1287,55,36,26319.5,549.5,1400.5,58,40,16044.5,546,1900.5,70,49,37,24
2,1,56,28,18879,310.5,1138,59,46,12837.5,288,1150.5,69,68,14885,586.5,1996,85,81,15499,604,2269,81,65,3,14
3,1,52,40,9592.5,266,989.5,42,34,17720,297,880.5,44,53,15512.5,310,901.5,33,28,13192,404.5,1415.5,38,44,2,15
4,1,45.5,16,19725,277,836,52,28,12961.5,431,2112.5,56,37,13194.5,442.5,1558,83,71,12255,463.5,1792.5,76,72,19,48
5,1,45,12,14792,350.5,996.5,43,25,7839.5,230.5,1076.5,47,46,7659.5,143,612.5,45,34,9286.5,275,1110.5,24,17,0,25
6,1,30,43,6174,155,759,61,20,9290,128,608.5,50,49,8476.5,93,446.5,75,39,8882.5,179.5,667.5,86,86,3,11
7,1,58,33,20130.5,337,829,60,20,20729,440.5,1230.5,64,57,22287.5,439,1285.5,61,42,13413.5,410.5,1444.5,68,27,23,74
8,1,66,52,26791,565.5,1496,73,39,30563.5,658,1596.5,74,68,24348.5,460.5,913.5,71,64,21810,611,1313,79,82,1,1
9,1,66,26,10716,202,1034,24,24,12454,184,708,29,26,8546,115.5,449.5,21,29,12413.5,297.5,1174,35,40,13,46
10,1,53,35,10262.5,190,1558.5,70,37,12296,285.5,1291,78,71,12294,264,1065,61,50,16305,704,2155,77,77,19,11
11,1,50,22,16285.5,322,1261.5,59,39,13250,260,859,35,37,14941.5,292,884,47,45,16257.5,440.5,1866,42,39,0,4
12,1,53.5,47,23959.5,421.5,1246.5,52,25,14969,507,1356,91,87,9562,381.5,1244,83,56,16711,729,1894.5,93,74,48,58
13,1,45,25,14734,326,1010.5,46,36,12456,345,1048,26,44,14896.5,199,691,14,28,18630,449.5,1457.5,21,27,6,
14,1,48,12,20048,282,818,39,32,9906,214,1050,55,40,14876.5,362.5,1102.5,50,33,17199.5,517.5,1629.5,61,50,16,103
15,1,30,38,14963.5,294,1450.5,41,18,31759.5,395,1049,33,33,14562,354.5,1213.5,45,57,17443,392,1311.5,36,52,10,68
16,1,33.5,16,25914,352.5,1496,20,28,20357,384,1930.5,23,19,23695,430.5,1420.5,47,40,31278,1013,2482,61,62,30,267
17,1,62,38,6302.5,107,1018.5,13,7,4076.5,168,1556.5,15,8,9073,192.5,754.5,26,23,8996.5,313.5,1500.5,38,28,22,47
18,1,38,25,10437.5,200.5,1068.5,16,14,8423,181,802,21,20,11346.5,236.5,1013,30,33,16605,285.5,832,33,29,0,3
19,1,41.5,19,25487,436,1451,44,45,13805.5,286,1503,44,38,11437.5,161,705.5,56,47,12321,180,662.5,59,28,4,66
20,1,38,45,16212.5,457.5,1627.5,75,31,15400,327.5,1559,71,61,15962,440,1439.5,67,56,16290.5,566,1722,89,41,23,120
21,1,48,37,19196.5,445.5,1392.5,41,43,16319.5,388.5,1224.5,52,57,15940.5,408,1386.5,65,62,15725,535.5,1625.5,89,89,19,261
